Building Address,State,Postal Code,Building Type,GFA,GFA Units
1 Main St,IL,60190,Office,200000,bad
234 Main Sfr,WA,11205,Museum,200000,ftSQ
3434 Yoppoer Ln,MT,8057,K12School,35000,ftSQ
3322 Bobbb Park,ME,10019,Hospital,bad,ftSQ
3r2c Test,bad,11205,MultiFamily,9000,mSQ
433 Popefe,CA,60190,ResidenceHall,50000,ftSQ
1 Lovel Lang,ID,14405,Office,64000,ftSQ
34  Easy St,IL,90641,Office,122000,ftSQ
Bad1,,,,,
Bad2,PP,14405,Office,64000,ftSQ
Bad3,MI,11205,MultiFamily,9000,mSQ2
Bad4,MI,ee3f3,MultiFamily,9000,mSQ2
